ID,Label,Original Comment,Lemmatized Comment
01JKRZHK6G4HPZ3C74ZQJ6A1SD,2,Mat poshter nbot nuk ka se njerzit tane veq tuten qe e njohin mos mi fry permas kta shkas bajne,"më i poshtëri në botë nuk ka sepse njerëzit tanë vetëm tremben që e njohin, mos t’i fryjë prapa, këta shkak bëjnë"
01JJVKM1R8XA1EJ29GSJ9892AG,1,Respekt për kryeministrin shembullor,respekt për kryeministër shembullor
01JKXMGCA0ZRJZV9V7AA95RP2H,2,ELEMENT TUBULLUS JE TI !!,element turbullues je ti
01JNPMCGN03SYMV23KY4BN96H7,0,"Haaaaaaaa,as 200 veta !","ha, as 200 vetë"
01JNTR0WHR063T9K109V0WQRNV,2,O ja rrofsh kudres,o ia rrofsh kudrës
01JHX3BY58Q1FG0H8H9FTQXQP0,0,Shko mirru me muzik membli,shkoj mirrem me muzikë memli
01JJZ1TBHRV5XX7610YTK56RYN,0,Urime 118 ❤️❤️ me 9 Shkurt 70% Hajnat kurr ma Zban mu kthy Edhe skeni mu kthy,urime 118 me 9 shkurt 70% hajnat kurrë më s’bëhen me u kthyer edhe s’keni me u kthyer
01JNMT6HMRYESBJMZ95KVX9Y59,2,"Oju nanladrum ekeniqujt,Albinin Albin srrbia Argati srrbis e rusis qfar hamamash jeni okrokodilla","o ju nënladrum e keqinj, albinin albin serbia argati i serbisë e rusisë çfarë hamamësh jeni o krokodila"
01JKC2RZDGW69HRPA1DZ22EBKT,0,Veç Grenelli edhe Opozita jan kunder Kurtit,veç grenell edhe opozitë jam kundër Kurti
01JMPAK54GB3X6BHCXSYGHQE1A,2,O viq banate!!,o viç banat !!
01JHFKTJR0T0WW7CKQA82GEXC1,2,Valla skam besue qe je kaq e padijshme beso shum shum e dobet,vallë s'kam besoj që jam kaq e padijshëm besoj shumë shumë e dobët
01JK0WMB60WWJWBPGHNC1ERPTF,0,As ymyt mos maj bile.,as ymyt mos mbaj bile
01JHR32QCRX2RXG7CT6EDRBQSQ,1,"Suksese per te gjithe, jeni me te miret!","sukses për të gjithë, jeni më të mirë"
01JK3WN2ARBB6EHT6D5VC3H5QS,2,"O Mut , Fmija jut rritet pa Bab...! Nashta ajo qika Jote e Ka kuptu qe je rrenc , per ato rrin Larg teje...!","o mut, fëmija yt rritet pa baba...! ndoshta ajo vajza jote e ka kuptuar që je rrenacak, për atë arsye rri larg teje…!"
01JMHYXJRRXY07D39PE4ATZTVF,2,qdo hajni tradhti mban emrin pdk,çdo hajni tradhti mbaj emër pdk
01JMJRWJJ80VX6Y3SY9AGHWT6P,2,dihet mo Limaj hajduk.,dihet më limaj hajdut
01JJ515YER7PZP8GEP1P96HGW2,2,Oh kishku i w rrugaq ju ka humbur rruga ne oborrin tuaj,"oh kushku i vogël rrugaç, ju ka humbur rruga në oborrin tuaj"
01JNAGQKM0TFASJ96Q82J5QKKW,2,"shum kategori e lodht zafa, asht e turpshme me kan politikan si ky tmerr‍♂️","shumë kategori e lodhur zafa, është e turpshme me qenë politikan si ky, tmerr"
01JKEBR6YRT83HF8CXQ8N58N6S,0,IndeksOnline e mba fjalen se mer shi pare normal nga Pdk,indeksonline e mban fjalën se merr shi pare normal nga pdk
01JKVBPYA87TNFV7Z14ZS3B5QA,0,Un jam votus I VV.së por kjo vot i takon LDK.së Dho mos bani hajgare po numroni votat..!,"unë jam votues i vv-së, por kjo votë i takon ldk-së. mos bëni hajgare, por numëroni votat!   "
01JNKPMJKG5A0HSD7VZRAA72H1,0,Jav ka djeg LDK,jua ka djegur ldk 
01JMN0SDGRFY3M4TXFBB4W108N,0,Bravo canaj se po jav prish vllaznillakun me listen serbe se i dhem gashit,bravo canaj se po ua prish vëllazërinë me listën serbe se i dhemb gashit 
01JK55VYE00TVFEKY0NX4HM8Z7,0,"Repekt per z.lima, MELEZAT KAN INAT URREJTJE IDHNIM TMADH NE UQK. NE LUFTETAR, SE UA KENI LUFTAR NJEK, SERBIN BABEN E MELEZAV T SHITUN, EDHE SHOYRTNISHT MORALISHT, EDHE BUTHRISHT,","respekt për z. lima, melezët kanë inat, urrejtje, idhnim të madh në uqk. në luftëtarët, sepse ua keni luftuar njëkohësisht serbin, babain e melezëve të shitur, edhe shoqërisht, moralisht, edhe trupërisht.   "
01JKDVQRGRV6QQ2BJ2EZCBS584,1,Respekt diaspora 137 ✅,respekt diasporë 137 ✅
01JKTKWEX0M7P7QWRX4P7JJA93,1,❤️❤️ Albin❤️❤️❤️ Bsba❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,❤️ albin ❤️ bsba ❤️
01JMERQYV0209VHRX6R77ZVFJR,0,Prap me Pagesë hyrja ne Kosovë për mërgimtarët.,prapë me pagesë hyrje në kosovë për mërgimtar
01JK4AY870AWTJSH9M8AXWYM9T,1,"Jeni lideri i vetem ne vend, jemi me ty ne keto zgjedhje! 137✅","jam lider i vetëm në vend, jam me ti në ky zgjedhje 137 ✅"
01JM02Q378H62GT6KFXYJSJDEJ,0,po mundoheni mja rit votat po duket qe as 40 perqin si ka,po mundohem me ia rrit votë po dukem që as 40 për qind s'ia kam
01JJQAMS3G59CYNN54HF9KVWA9,0,Duhesh mi mar msusen gjuhes shqipe me kuptu Albinin,duhet me marrë mësues gjuhë shqip me kuptoj albini
01JJWTKXCR2ZZ3AYZB55CHF7VE,0,Ki i dulles ne Razumem 20 vjet ka qen as 1 pun sun e kriten.,ky i dullës në razumem 20 vjet kam qenë as një punë s'unë e kry
01JN63HV8GM4RVTYK7789RMTSS,0,Pae Dadē nuk jan te sakta…Nuk po te pelqejne a,"pa dadë nuk jam i saktë, nuk po ti pëlqej a"
01JMDE1P4GXQGVKMQPKK9TKP8N,2,Popo kto qeverit e mëparshme ku 20 vjet kan plaqkit me terminale nuk i keni konfirmu kurr bre klan i flliqt,po po ky qeveri i mëparshëm ku 20 vjet kam plaçkit me terminal nuk i kam konfirmoj kurrë klan i fëlliqur
01JKRNZH88MG0C0Y6BQ2DV9XG6,2,"Ik pirdhu more trathtar, mos u'mundoni me vjedh se King Kosoves i'ka marr75% ,mos genjeni pis,poplli shqiptar e zgjodhi Luanin Albin Kurtin","ik pirdhu tradhtar, mos mundohem me vjedh se king kosovë ia kam marrë 75%, mos gënjej pis, popull shqiptar e zgjedh luan albin kurti"
01JJ577JR0AZXC8WX9G5QG6MA4,0,lideret e vertete si Kurti jo menjehere po asnjehere,lider i vërtetë si kurti jo menjëherë po asnjëherë
01JKTFNEK0ZC61AK1QXXM6K22K,0,Me Listen serbe ky nuk bon qeveri,me listë serb ky nuk bëj qeveri
01JHGMDPM89GSSQNVGJYQVDRN4,0,Sje n oda me kallzu mesele qdo tubim a dele pi zen popullaten a ?,s'je në odë me kallëzoj mesele çdo tubim a del pi zë popullatë a
01JMMJ28C0PKP45T31DZEPMNHA,0,Humbsi nuk pajtohet kurr po duhet me pranue humbjen,humbës nuk pajtohem kurrë po duhet me pranoj humbje
01JM4JY9R04R88SKRNQ7NHJH0M,2,Koka pijav tash e rreh,kokë pijav tash e rrah
01JNJ23FP0Q025F1N9KW40ATN3,0,qashtu po thojin populli Qe nji kry minister pa i kuruptum veq po mundohen me hjeke Albinin3,ashtu po them popull që një kryeministër pa jam korruptuar veç po mundohem me heq albin
01JKXSB7CGJSDQY6MSK5S8E6QT,2,Mos u frigoni se Berati se bashku me stanishiqin Lirimin dhe Vuqiqin shum shpejt kan me mu ba bask partit e krimit,mos u frigoni se berati se bashku me stanishiqin lirimin dhe vuqiqin shum shpejt kan me mu ba bask partit e krimit
